Date,Price,Open,High,Low
2017-10-18,30858,31009,31389,30744
2017-10-19,30706,30858,31009,30555
2017-10-20,30934,30744,31313,30668
2017-10-23,30251,30972,31351,30175
2017-10-24,30327,30213,30555,29948
2017-10-25,30896,30327,30934,30327
2017-10-26,30782,30896,31275,30479
2017-10-27,31843,30782,31843,30668
2017-10-30,31768,32071,32564,31464
2017-10-31,31389,31768,31919,31389
2017-11-01,28533,28496,28756,28385
2017-11-04,27383,27235,27457,27235
2017-11-05,27309,27309,27457,27272
2017-11-07,28422,28199,28422,27903
2017-11-08,27791,27791,27865,27680
2017-11-09,27977,28051,28867,27977
2017-11-10,29834,30175,30251,29607
2017-11-12,33815,34876,35558,33815
2017-11-13,32905,32981,33132,32602
2017-11-14,33208,32981,33663,32867
2017-11-15,33057,33208,33511,33057
2017-11-16,33891,33170,34004,33057
2017-11-17,33663,33966,34232,33625
2017-11-20,34118,33663,34118,33625
2017-11-21,35407,34345,36165,34270
2017-11-22,36392,35407,36468,35407
2017-11-23,36317,36923,37075,35521
2017-11-24,35938,36013,36165,35634
2017-11-27,36317,36013,36544,35483
2017-11-28,36544,36468,36696,36013
2017-11-29,37151,36392,37151,36392
2017-11-30,36772,36999,37909,36772
2017-12-01,28125,28496,28570,28051
2017-12-04,27309,27457,27457,27198
2017-12-05,27049,27272,27309,26975
2017-12-06,28459,28496,28533,28162
2017-12-07,28199,28570,28570,28088
2017-12-09,28236,27977,28274,27940
2017-12-10,29607,29834,29910,29607
2017-12-12,33891,34345,34421,31540
2017-12-13,33360,34118,34194,33132
2017-12-14,34345,33360,34497,33284
2017-12-15,34876,34345,35255,34270
2017-12-18,36241,35634,36544,35331
2017-12-19,36203,36317,36734,35900
2017-12-20,37151,36203,37416,35938
2017-12-21,36772,37151,37302,36772
2017-12-22,38515,36544,38515,36430
2017-12-25,38970,38667,39198,38515
2017-12-26,38970,39046,39198,38288
2017-12-27,39804,38970,40032,38743
2017-12-28,41017,39804,41624,39804
2017-12-29,41169,40942,41700,40866
2018-01-02,50495,50343,51404,49888
2018-01-03,54210,55044,56560,53831
2018-01-06,43216,41017,43595,40866
2018-01-08,44429,44808,44884,44278
2018-01-10,47386,48144,48144,47386
2018-01-11,42236,42850,42927,42082
2018-01-15,45491,43974,45491,43216
2018-01-16,45491,44960,45718,44581
2018-01-17,42610,45339,45415,42610
2018-01-18,44353,42458,44353,42382
2018-01-19,46249,44429,46552,44202
2018-01-22,47993,47007,48068,46780
2018-01-25,51329,49661,51329,48372
2018-01-26,52390,52617,53072,50419
2018-01-29,51556,53072,54210,51404
2018-01-30,50798,50419,51404,50191
2018-01-31,50495,50798,52238,50191
2018-02-01,41700,40942,42003,40638
2018-02-02,51101,51177,51177,50495
2018-02-03,54437,53072,54589,53072
2018-02-04,56105,53831,56105,53679
2018-02-05,44126,45946,46249,43823
2018-02-07,44050,43595,44278,42003
2018-02-08,44732,44126,44732,43747
2018-02-10,47765,47386,47841,47159
2018-02-11,43158,42236,43234,42236
2018-02-13,48523,48751,49206,48220
2018-02-21,50191,49281,51480,48902
2018-02-22,50646,49736,51101,49585
2018-02-23,54134,50798,54134,50570
2018-02-26,54513,56333,56333,54134
2018-02-27,55499,55271,55726,54361
2018-02-28,55953,54665,56863,54589
2018-03-01,41624,42079,42230,41321
2018-03-04,56333,56105,57091,55726
2018-03-05,45187,44126,45263,43140
2018-03-07,42458,44202,44202,42458
2018-03-08,44353,45112,45263,44050
2018-03-10,47765,48068,48144,47386
2018-03-12,44540,43542,44540,43158
2018-03-13,54589,54589,55044,53527
2018-03-14,55953,55044,56333,55044
2018-03-15,55953,55347,56484,55195
2018-03-16,56636,56484,57091,56181
2018-03-19,56333,57318,58001,55347
2018-03-20,56105,55574,56787,55574
2018-03-21,55726,56484,57015,55726
2018-03-22,54589,56105,56105,54589
2018-03-23,52997,51935,53603,51935
2018-03-26,54513,53072,54513,52769
2018-03-27,53831,55195,55271,53527
2018-03-28,53451,52997,54058,52921
2018-03-29,53831,53679,54285,53148
2018-03-30,53451,53831,54134,53224
2018-04-01,42003,41396,42003,41169
2018-04-04,55726,56484,56712,55726
2018-04-05,44732,45642,46021,44657
2018-04-06,44960,42837,45187,42458
2018-04-07,42155,42610,42837,41472
2018-04-09,46249,47386,47462,46173
2018-04-10,47765,47765,48523,47614
2018-04-12,44233,44386,44770,43849
2018-04-13,51480,54058,54134,51177
2018-04-16,49964,50949,51253,49357
2018-04-17,50798,50040,50798,49661
2018-04-18,49130,51404,51404,49130
2018-04-19,46249,48827,48902,46249
2018-04-20,48523,46400,48523,46021
2018-04-23,45187,48902,49130,45187
2018-04-24,45491,44732,46021,43974
2018-04-26,44126,45491,46476,43974
2018-04-27,45491,44126,45642,44050
2018-05-01,40942,41776,41776,40866
2018-05-02,47538,50040,50798,47538
2018-05-03,51556,54589,54968,51556
2018-05-04,55726,55953,56105,55044
2018-05-06,44429,44429,45187,43747
2018-05-07,39425,42003,42155,39425
2018-05-09,45946,46249,46855,45718
2018-05-10,47688,47995,48379,47688
2018-05-11,43388,42927,43388,42697
2018-05-12,44386,43772,44693,43388
2018-05-14,44202,44126,44353,43140
2018-05-15,44505,44202,45339,44126
2018-05-16,43216,44353,44657,43216
2018-05-17,43064,43216,43519,42610
2018-05-18,42837,43140,43292,41548
2018-05-21,42230,42837,43519,42230
2018-05-22,40487,41624,42079,39425
2018-05-23,41321,40183,41321,39425
2018-05-24,40411,41321,41548,40183
2018-05-25,37909,40487,40714,37909
2018-05-28,35483,37151,37606,35483
2018-05-29,37909,36013,37909,35483
2018-05-30,39425,38667,40032,38288
2018-05-31,41017,39046,41321,38970
2018-06-02,47007,44278,47765,44278
2018-06-03,53982,52314,54210,51329
2018-06-04,55726,55802,56712,55650
2018-06-06,44808,44050,45263,43671
2018-06-07,41700,38743,42003,38288
2018-06-08,44732,44126,45187,44126
2018-06-09,45718,45946,46249,45642
2018-06-11,42850,43772,43772,42850
2018-06-12,43695,44079,44540,43542
2018-06-13,45415,43671,45415,43671
2018-06-14,44050,45415,45415,43974
2018-06-15,44732,43595,44732,43519
2018-06-18,42837,44657,44732,42458
2018-06-19,42837,41321,42837,40942
2018-06-20,44050,43216,44505,42610
2018-06-21,43216,43974,44126,42761
2018-06-22,44505,42534,44505,42079
2018-06-25,45036,45491,45642,44657
2018-06-26,44960,44353,45036,43974
2018-06-27,43974,44732,45870,43974
2018-06-28,43898,43216,44505,43216
2018-06-29,43974,43898,44505,43064
2018-07-02,48144,49281,49433,47614
2018-07-03,52769,54210,54513,51935
2018-07-05,47083,45339,47083,44960
2018-07-06,44505,44732,44960,44278
2018-07-08,46628,44581,46931,44429
2018-07-09,47007,45566,47159,45566
2018-07-11,42620,42850,43158,42313
2018-07-12,43925,44079,44309,43849
2018-07-13,41548,40411,41624,39425
2018-07-16,41624,41700,42079,41169
2018-07-17,42306,40942,42306,40942
2018-07-18,43595,42306,43595,42306
2018-07-19,43064,43747,43823,42989
2018-07-20,43064,42837,43368,41776
2018-07-23,42913,43064,44278,42837
2018-07-24,43216,43216,43519,42458
2018-07-25,41927,43444,43519,41927
2018-07-26,42989,42003,42989,41321
2018-07-27,42837,42989,43444,42610
2018-07-30,43444,43216,43519,42837
2018-07-31,44353,43292,44960,43064
2018-08-01,42003,40942,42079,40183
2018-08-02,47689,47462,48144,46628
2018-08-03,52693,52769,53376,52163
2018-08-05,46249,46476,47159,46249
2018-08-06,45263,44202,45794,44202
