Date,Price,Open,High,Low,Vol.,Change %
4/1/2016,3051.10,"3,051.10","3,149.50","3,051.10",298.29K,-3.12%
4/4/2016,2952.70,"3,051.10","3,149.50","2,952.70",114.62K,-3.23%
4/5/2016,3051.10,"2,952.70","3,051.10","2,952.70",144.66K,3.33%
4/6/2016,3051.10,"3,051.10","3,051.10","2,952.70",109.76K,0.00%
4/7/2016,3051.10,"3,051.10","3,051.10","2,952.70",31.22K,0.00%
4/8/2016,2854.30,"2,854.30","2,952.70","2,854.30",540.19K,-6.45%
4/11/2016,2854.30,"2,755.90","2,854.30","2,657.40",427.43K,0.00%
4/12/2016,2657.40,"2,854.30","2,854.30","2,657.40",114.89K,-6.90%
4/13/2016,2755.90,"2,755.90","2,755.90","2,657.40",155.90K,3.71%
4/14/2016,2854.30,"2,755.90","2,854.30","2,755.90",271.53K,3.57%
4/15/2016,2952.70,"3,051.10","3,051.10","2,952.70",406.84K,3.45%
4/19/2016,2952.70,"2,952.70","3,051.10","2,854.30",261.20K,0.00%
4/20/2016,2854.30,"2,952.70","2,952.70","2,854.30",78.90K,-3.33%
4/21/2016,2952.70,"2,854.30","2,952.70","2,854.30",59.11K,3.45%
4/22/2016,2854.30,"2,755.90","2,854.30","2,755.90",236.72K,-3.33%
4/25/2016,2854.30,"2,952.70","2,952.70","2,755.90",47.23K,0.00%
4/26/2016,2854.30,"2,952.70","2,952.70","2,755.90",113.99K,0.00%
4/27/2016,2854.30,"2,854.30","2,952.70","2,755.90",94.00K,0.00%
4/28/2016,2854.30,"2,854.30","2,952.70","2,755.90",85.08K,0.00%
4/29/2016,2952.70,"2,854.30","2,952.70","2,854.30",69.08K,3.45%
5/4/2016,2854.30,"2,952.70","2,952.70","2,854.30",47.58K,-3.33%
5/5/2016,2755.90,"2,755.90","2,952.70","2,755.90",34.59K,-3.45%
5/6/2016,2854.30,"2,755.90","2,854.30","2,755.90",125.80K,3.57%
5/9/2016,2952.70,"2,854.30","2,952.70","2,854.30",92.58K,3.45%
5/10/2016,2854.30,"2,854.30","2,952.70","2,854.30",16.44K,-3.33%
5/11/2016,2755.90,"2,854.30","2,854.30","2,755.90",76.20K,-3.45%
5/12/2016,2854.30,"2,854.30","2,854.30","2,755.90",80.89K,3.57%
5/13/2016,2854.30,"2,854.30","2,854.30","2,755.90",37.80K,0.00%
5/16/2016,2854.30,"2,854.30","2,952.70","2,755.90",77.30K,0.00%
5/17/2016,2854.30,"2,952.70","2,952.70","2,755.90",30.07K,0.00%
5/18/2016,2755.90,"2,854.30","2,952.70","2,755.90",58.27K,-3.45%
5/19/2016,2854.30,"2,854.30","2,854.30","2,755.90",89.92K,3.57%
5/20/2016,2952.70,"2,755.90","2,952.70","2,755.90",84.92K,3.45%
5/23/2016,2952.70,"2,854.30","2,952.70","2,854.30",38.63K,0.00%
5/24/2016,2854.30,"2,854.30","2,854.30","2,755.90",128.07K,-3.33%
5/25/2016,2854.30,"2,854.30","2,952.70","2,755.90",21.42K,0.00%
5/26/2016,2854.30,"2,854.30","2,854.30","2,755.90",51.13K,0.00%
5/27/2016,2755.90,"2,755.90","2,854.30","2,755.90",52.93K,-3.45%
5/30/2016,2755.90,"2,755.90","2,854.30","2,755.90",32.30K,0.00%
5/31/2016,2854.30,"2,854.30","2,854.30","2,755.90",149.74K,3.57%
6/1/2016,2854.30,"2,952.70","2,952.70","2,854.30",77.88K,0.00%
6/2/2016,2952.70,"2,952.70","2,952.70","2,854.30",48.49K,3.45%
6/3/2016,2952.70,"2,952.70","2,952.70","2,854.30",50.92K,0.00%
6/6/2016,2854.30,"2,952.70","2,952.70","2,854.30",50.94K,-3.33%
6/7/2016,2854.30,"2,854.30","2,952.70","2,854.30",22.85K,0.00%
6/8/2016,2952.70,"2,952.70","2,952.70","2,854.30",47.40K,3.45%
6/9/2016,2952.70,"2,952.70","2,952.70","2,854.30",471.92K,0.00%
6/10/2016,2854.30,"2,952.70","2,952.70","2,854.30",176.28K,-3.33%
6/13/2016,2854.30,"2,854.30","2,854.30","2,755.90",195.04K,0.00%
6/14/2016,2854.30,"2,854.30","2,952.70","2,854.30",80.38K,0.00%
6/15/2016,2952.70,"2,854.30","2,952.70","2,854.30",160.00K,3.45%
6/16/2016,2854.30,"2,854.30","2,952.70","2,755.90",194.20K,-3.33%
6/17/2016,2755.90,"2,755.90","2,854.30","2,755.90",139.80K,-3.45%
6/20/2016,2854.30,"2,755.90","2,854.30","2,755.90",54.18K,3.57%
6/21/2016,2854.30,"2,755.90","2,854.30","2,755.90",52.78K,0.00%
6/22/2016,2854.30,"2,755.90","2,854.30","2,755.90",31.65K,0.00%
6/23/2016,2854.30,"2,755.90","2,854.30","2,755.90",45.00K,0.00%
6/24/2016,2755.90,"2,755.90","2,755.90","2,657.40",279.26K,-3.45%
6/27/2016,2755.90,"2,755.90","2,755.90","2,657.40",199.21K,0.00%
6/28/2016,2854.30,"2,755.90","2,854.30","2,755.90",6.45K,3.57%
6/29/2016,2755.90,"2,854.30","2,854.30","2,755.90",26.41K,-3.45%
6/30/2016,2755.90,"2,755.90","2,854.30","2,755.90",57.02K,0.00%
7/1/2016,2755.90,"2,755.90","2,854.30","2,657.40",23.98K,0.00%
7/4/2016,2755.90,"2,755.90","2,854.30","2,657.40",117.46K,0.00%
7/5/2016,2755.90,"2,755.90","2,854.30","2,657.40",145.03K,0.00%
7/6/2016,2755.90,"2,755.90","2,854.30","2,657.40",195.95K,0.00%
7/7/2016,2657.40,"2,854.30","2,854.30","2,657.40",69.23K,-3.57%
7/8/2016,2755.90,"2,755.90","2,755.90","2,657.40",97.78K,3.71%
7/11/2016,2755.90,"2,755.90","2,755.90","2,657.40",99.52K,0.00%
7/12/2016,2657.40,"2,755.90","2,755.90","2,657.40",34.75K,-3.57%
7/13/2016,2755.90,"2,657.40","2,755.90","2,657.40",85.61K,3.71%
7/14/2016,2657.40,"2,755.90","2,854.30","2,657.40",29.60K,-3.57%
7/15/2016,2755.90,"2,657.40","2,755.90","2,657.40",117.28K,3.71%
7/18/2016,2755.90,"2,755.90","2,755.90","2,657.40",43.00K,0.00%
7/19/2016,2657.40,"2,657.40","2,755.90","2,657.40",91.10K,-3.57%
7/20/2016,2657.40,"2,755.90","2,755.90","2,657.40",60.42K,0.00%
7/21/2016,2657.40,"2,755.90","2,755.90","2,657.40",39.30K,0.00%
7/22/2016,2657.40,"2,657.40","2,657.40","2,559.00",40.68K,0.00%
7/25/2016,2559.00,"2,657.40","2,657.40","2,559.00",71.75K,-3.70%
7/26/2016,2559.00,"2,559.00","2,559.00","2,559.00",47.12K,0.00%
7/27/2016,2559.00,"2,559.00","2,657.40","2,559.00",15.52K,0.00%
7/28/2016,2559.00,"2,559.00","2,657.40","2,559.00",25.35K,0.00%
7/29/2016,2657.40,"2,559.00","2,657.40","2,460.60",63.01K,3.85%
8/1/2016,2559.00,"2,657.40","2,657.40","2,559.00",74.17K,-3.70%
8/2/2016,2559.00,"2,559.00","2,657.40","2,460.60",114.39K,0.00%
8/3/2016,2460.60,"2,460.60","2,559.00","2,460.60",93.10K,-3.85%
8/4/2016,2362.20,"2,460.60","2,460.60","2,362.20",94.95K,-4.00%
8/5/2016,2362.20,"2,263.70","2,460.60","2,263.70",19.52K,0.00%
8/8/2016,2362.20,"2,263.70","2,460.60","2,263.70",55.75K,0.00%
8/9/2016,2460.60,"2,263.70","2,460.60","2,263.70",52.65K,4.17%
8/10/2016,2559.00,"2,460.60","2,559.00","2,362.20",116.03K,4.00%
8/11/2016,2657.40,"2,559.00","2,657.40","2,559.00",102.91K,3.85%
8/12/2016,2657.40,"2,657.40","2,657.40","2,559.00",62.80K,0.00%
8/15/2016,2559.00,"2,657.40","2,657.40","2,559.00",56.95K,-3.70%
8/16/2016,2460.60,"2,559.00","2,657.40","2,460.60",70.15K,-3.85%
8/17/2016,2559.00,"2,460.60","2,559.00","2,460.60",33.47K,4.00%
8/18/2016,2559.00,"2,460.60","2,559.00","2,460.60",73.71K,0.00%
8/19/2016,2460.60,"2,559.00","2,559.00","2,460.60",10.96K,-3.85%
8/22/2016,2362.20,"2,460.60","2,460.60","2,362.20",22.48K,-4.00%
8/23/2016,2460.60,"2,460.60","2,460.60","2,362.20",56.01K,4.17%
8/24/2016,2460.60,"2,362.20","2,460.60","2,362.20",9.50K,0.00%
8/25/2016,2460.60,"2,362.20","2,460.60","2,362.20",13.49K,0.00%
8/26/2016,2460.60,"2,362.20","2,460.60","2,362.20",56.36K,0.00%
8/29/2016,2362.20,"2,460.60","2,460.60","2,362.20",43.95K,-4.00%
8/30/2016,2460.60,"2,362.20","2,460.60","2,362.20",178.43K,4.17%
8/31/2016,2460.60,"2,559.00","2,559.00","2,460.60",228.96K,0.00%
9/1/2016,2559.00,"2,460.60","2,559.00","2,460.60",46.85K,4.00%
9/5/2016,2460.60,"2,460.60","2,559.00","2,460.60",141.42K,-3.85%
9/6/2016,2460.60,"2,460.60","2,559.00","2,460.60",187.30K,0.00%
9/7/2016,2559.00,"2,460.60","2,559.00","2,460.60",4.30K,4.00%
9/8/2016,2460.60,"2,559.00","2,559.00","2,460.60",75.87K,-3.85%
9/9/2016,2460.60,"2,460.60","2,559.00","2,362.20",167.65K,0.00%
9/12/2016,2588.50,"2,460.60","2,627.90","2,460.60",72.53K,5.20%
9/13/2016,2549.20,"2,559.00","2,559.00","2,470.40",19.64K,-1.52%
9/14/2016,2490.10,"2,509.80","2,559.00","2,490.10",12.51K,-2.32%
9/15/2016,2401.50,"2,470.40","2,470.40","2,322.80",161.75K,-3.56%
9/16/2016,2460.60,"2,362.20","2,460.60","2,362.20",65.89K,2.46%
9/19/2016,2490.10,"2,460.60","2,549.20","2,460.60",91.22K,1.20%
9/20/2016,2480.30,"2,460.60","2,509.80","2,460.60",10.80K,-0.39%
9/21/2016,2460.60,"2,460.60","2,480.30","2,440.90",6.52K,-0.79%
9/22/2016,2460.60,"2,460.60","2,460.60","2,460.60",125.99K,0.00%
9/23/2016,2460.60,"2,460.60","2,509.80","2,460.60",27.30K,0.00%
9/26/2016,2490.10,"2,460.60","2,490.10","2,460.60",14.08K,1.20%
9/27/2016,2411.40,"2,490.10","2,490.10","2,411.40",35.16K,-3.16%
9/28/2016,2460.60,"2,470.40","2,470.40","2,411.40",16.49K,2.04%
9/29/2016,2440.90,"2,470.40","2,480.30","2,421.20",66.82K,-0.80%
9/30/2016,2352.30,"2,440.90","2,440.90","2,332.60",188.95K,-3.63%
10/3/2016,2362.20,"2,362.20","2,372.00","2,352.30",84.13K,0.42%
10/4/2016,2342.50,"2,362.20","2,362.20","2,342.50",16.40K,-0.83%
10/5/2016,2362.20,"2,332.60","2,460.60","2,332.60",4.02K,0.84%
10/6/2016,2283.40,"2,204.70","2,312.90","2,204.70",51.38K,-3.34%
10/7/2016,2440.90,"2,283.40","2,440.90","2,214.50",63.37K,6.90%
10/10/2016,2312.90,"2,431.10","2,440.90","2,312.90",35.77K,-5.24%
10/11/2016,2322.80,"2,312.90","2,362.20","2,263.70",43.83K,0.43%
10/12/2016,2362.20,"2,312.90","2,362.20","2,312.90",15.14K,1.70%
10/13/2016,2362.20,"2,362.20","2,391.70","2,322.80",22.27K,0.00%
10/14/2016,2460.60,"2,362.20","2,519.60","2,362.20",65.86K,4.17%
10/17/2016,2362.20,"2,460.60","2,460.60","2,362.20",13.54K,-4.00%
10/18/2016,2431.10,"2,362.20","2,431.10","2,362.20",4.61K,2.92%
10/19/2016,2401.50,"2,362.20","2,411.40","2,352.30",41.24K,-1.22%
10/20/2016,2362.20,"2,362.20","2,411.40","2,362.20",18.78K,-1.64%
10/21/2016,2362.20,"2,362.20","2,411.40","2,263.70",50.43K,0.00%
10/24/2016,2362.20,"2,283.40","2,362.20","2,283.40",2.86K,0.00%
10/25/2016,2352.30,"2,362.20","2,362.20","2,293.30",1.05K,-0.42%
10/26/2016,2372.00,"2,342.50","2,372.00","2,312.90",13.56K,0.84%
10/27/2016,2362.20,"2,312.90","2,362.20","2,312.90",2.53K,-0.41%
10/28/2016,2342.50,"2,362.20","2,372.00","2,204.70",34.17K,-0.83%
10/31/2016,2312.90,"2,283.40","2,312.90","2,253.90",43.71K,-1.26%
11/1/2016,2312.90,"2,342.50","2,342.50","2,214.50",68.06K,0.00%
11/2/2016,2263.70,"2,312.90","2,312.90","2,165.30",12.66K,-2.13%
11/3/2016,2312.90,"2,224.40","2,362.20","2,185.00",32.83K,2.17%
11/4/2016,2312.90,"2,312.90","2,322.80","2,214.50",12.47K,0.00%
11/7/2016,2312.90,"2,263.70","2,322.80","2,263.70",12.33K,0.00%
11/8/2016,2263.70,"2,312.90","2,312.90","2,185.00",19.89K,-2.13%
11/9/2016,2253.90,"2,224.40","2,263.70","2,185.00",77.21K,-0.43%
11/10/2016,2214.50,"2,185.00","2,253.90","2,185.00",37.68K,-1.75%
11/11/2016,2253.90,"2,214.50","2,263.70","2,214.50",79.02K,1.78%
11/14/2016,2214.50,"2,263.70","2,263.70","2,214.50",28.24K,-1.75%
11/15/2016,2244.10,"2,224.40","2,263.70","2,214.50",29.28K,1.34%
11/16/2016,2253.90,"2,224.40","2,263.70","2,224.40",42.51K,0.44%
11/17/2016,2234.20,"2,253.90","2,253.90","2,204.70",44.81K,-0.87%
11/18/2016,2204.70,"2,234.20","2,234.20","2,204.70",42.75K,-1.32%
11/21/2016,2204.70,"2,214.50","2,234.20","2,165.30",59.26K,0.00%
11/22/2016,2194.80,"2,185.00","2,204.70","2,165.30",41.18K,-0.45%
11/23/2016,2194.80,"2,214.50","2,214.50","2,194.80",7.03K,0.00%
11/24/2016,2194.80,"2,194.80","2,204.70","2,185.00",35.84K,0.00%
11/25/2016,2165.30,"2,194.80","2,194.80","2,165.30",43.76K,-1.34%
11/28/2016,2204.70,"2,165.30","2,204.70","2,125.90",61.38K,1.82%
11/29/2016,2185.00,"2,165.30","2,194.80","2,086.60",35.54K,-0.89%
11/30/2016,2145.60,"2,125.90","2,175.20","2,125.90",41.84K,-1.80%
12/1/2016,2165.30,"2,145.60","2,185.00","2,135.80",32.35K,0.92%
12/2/2016,2145.60,"2,165.30","2,175.20","2,145.60",47.37K,-0.91%
12/5/2016,2135.80,"2,007.80","2,185.00","2,007.80",60.23K,-0.46%
12/6/2016,2106.30,"2,135.80","2,135.80","2,027.50",44.78K,-1.38%
12/7/2016,2066.90,"2,106.30","2,116.10","2,066.90",37.27K,-1.87%
12/8/2016,2106.30,"2,106.30","2,106.30","2,066.90",47.05K,1.91%
12/9/2016,2086.60,"2,066.90","2,106.30","2,037.40",34.19K,-0.94%
12/12/2016,2057.00,"1,968.50","2,086.60","1,968.50",104.85K,-1.42%
12/13/2016,2047.20,"2,057.00","2,057.00","2,027.50",30.99K,-0.48%
12/14/2016,2066.90,"1,968.50","2,066.90","1,968.50",34.41K,0.96%
12/15/2016,2086.60,"2,066.90","2,086.60","2,017.70",57.49K,0.95%
12/16/2016,1978.30,"2,086.60","2,086.60","1,978.30",53.82K,-5.19%
12/19/2016,2116.10,"1,988.20","2,116.10","1,988.20",83.90K,6.97%
12/20/2016,2263.70,"2,263.70","2,263.70","2,263.70",158.91K,6.98%
12/21/2016,2421.20,"2,421.20","2,421.20","2,421.20",65.49K,6.96%
12/22/2016,2588.50,"2,588.50","2,588.50","2,588.50",88.44K,6.91%
12/23/2016,2618.10,"2,765.70","2,765.70","2,559.00",463.43K,1.14%
12/26/2016,2657.40,"2,618.10","2,755.90","2,618.10",225.81K,1.50%
12/27/2016,2657.40,"2,736.20","2,736.20","2,657.40",117.91K,0.00%
12/28/2016,2480.30,"2,568.80","2,608.20","2,480.30",369.49K,-6.66%
12/29/2016,2362.20,"2,421.20","2,450.70","2,322.80",98.33K,-4.76%
12/30/2016,2450.70,"2,519.60","2,519.60","2,362.20",123.60K,3.75%
1/3/2017,2470.40,"2,480.30","2,559.00","2,450.70",50.49K,0.80%
1/4/2017,2381.80,"2,470.40","2,470.40","2,381.80",58.11K,-3.59%
1/5/2017,2421.20,"2,381.80","2,431.10","2,372.00",62.03K,1.65%
1/6/2017,2411.40,"2,421.20","2,519.60","2,411.40",87.23K,-0.40%
1/9/2017,2440.90,"2,460.60","2,470.40","2,431.10",109.17K,1.22%
1/10/2017,2509.80,"2,460.60","2,539.30","2,450.70",113.42K,2.82%
1/11/2017,2519.60,"2,490.10","2,529.50","2,480.30",207.91K,0.39%
1/12/2017,2519.60,"2,529.50","2,529.50","2,480.30",115.71K,0.00%
1/13/2017,2519.60,"2,500.00","2,529.50","2,470.40",88.91K,0.00%
1/16/2017,2500.00,"2,529.50","2,529.50","2,440.90",69.43K,-0.78%
1/17/2017,2490.10,"2,480.30","2,500.00","2,460.60",50.28K,-0.40%
1/18/2017,2490.10,"2,490.10","2,500.00","2,480.30",136.20K,0.00%
1/19/2017,2559.00,"2,509.80","2,559.00","2,490.10",223.95K,2.77%
1/20/2017,2588.50,"2,559.00","2,598.40","2,559.00",120.67K,1.15%
1/23/2017,2657.40,"2,618.10","2,657.40","2,588.50",87.73K,2.66%
1/24/2017,2667.30,"2,657.40","2,687.00","2,647.60",227.62K,0.37%
1/25/2017,2844.40,"2,677.10","2,844.40","2,677.10",615.35K,6.64%
