Date,Price,Open,High,Low,Vol.,Change %
12/18/2020,36577.90,36344.40,36967.00,36110.90,3.06M,1.29%
12/21/2020,36928.10,37356.10,37356.10,36188.80,3.11M,0.96%
12/22/2020,36461.10,36928.10,36928.10,36266.60,3.44M,-1.26%
12/23/2020,36266.60,36577.90,36967.00,36110.90,2.65M,-0.53%
12/24/2020,35410.50,36266.60,36422.20,34165.30,3.94M,-2.36%
12/25/2020,36266.60,35410.50,36344.40,35021.40,1.97M,2.42%
12/28/2020,36928.10,36539.00,37356.10,36422.20,3.97M,1.82%
12/29/2020,37628.50,36811.40,37862.00,36811.40,3.81M,1.90%
12/30/2020,37395.10,37667.40,37978.70,37356.10,1.81M,-0.62%
12/31/2020,37909.50,37395.00,37909.50,37197.20,1.69M,1.38%
1/4/2021,38186.50,37790.80,38344.80,37790.80,2.51M,0.73%
1/5/2021,37909.50,37909.50,38067.80,37711.60,2.71M,-0.73%
1/6/2021,38621.80,38226.00,40046.30,37632.50,4.62M,1.88%
1/7/2021,38700.90,38621.80,39492.30,38384.30,2.11M,0.20%
1/8/2021,38384.30,39017.50,39017.50,38146.90,2.56M,-0.82%
1/11/2021,38186.50,38384.30,38463.50,37909.50,3.47M,-0.52%
1/12/2021,38582.20,38186.50,38780.00,37909.50,2.75M,1.04%
1/13/2021,38344.80,38621.80,38938.30,38305.20,2.08M,-0.62%
1/14/2021,38661.30,38384.30,38780.00,37988.60,2.40M,0.83%
1/15/2021,38661.30,39017.50,39175.80,38661.30,3.02M,0.00%
1/18/2021,38503.00,38700.90,38780.00,38463.50,2.12M,-0.41%
1/19/2021,35812.20,38463.50,38463.50,35812.20,3.40M,-6.99%
1/20/2021,36010.00,35812.20,36801.50,33635.80,2.90M,0.55%
1/21/2021,36801.50,36089.20,36801.50,35772.60,1.69M,2.20%
1/22/2021,35812.20,36801.50,36841.00,35693.50,2.78M,-2.69%
1/25/2021,35297.80,35614.30,35772.60,35139.50,1.73M,-1.44%
1/26/2021,33675.30,35099.90,35099.90,33081.70,2.31M,-4.60%
1/27/2021,32686.00,33675.30,34348.00,32132.00,2.64M,-2.94%
1/28/2021,30430.50,30865.70,31657.20,30430.50,3.39M,-6.90%
1/29/2021,31578.00,28887.20,32329.90,28887.20,2.53M,3.77%
2/1/2021,30944.90,31578.00,32448.60,30588.70,1.94M,-2.00%
2/2/2021,31142.70,30786.60,31617.60,30509.60,3.14M,0.64%
2/3/2021,32725.60,31736.30,32844.30,31419.70,2.33M,5.08%
2/4/2021,32844.30,32765.20,32923.50,32369.50,1.73M,0.36%
2/5/2021,33081.70,32844.30,33319.20,32686.00,1.61M,0.72%
2/8/2021,31736.30,33081.70,33240.00,30905.30,2.36M,-4.07%
2/9/2021,32290.30,32052.90,32606.90,31419.70,1.82M,1.75%
2/17/2021,33319.20,32329.90,33319.20,32329.90,1.81M,3.19%
2/18/2021,34348.00,33398.30,34427.20,33002.60,2.94M,3.09%
2/19/2021,34902.00,34031.50,35218.60,33912.80,2.55M,1.61%
2/22/2021,34625.00,34902.00,35218.60,34585.50,1.92M,-0.79%
2/23/2021,34822.90,34625.00,34902.00,34189.80,1.93M,0.57%
2/24/2021,34071.00,34743.80,34981.20,33714.90,2.06M,-2.16%
2/25/2021,33991.90,34150.20,34664.60,33398.30,2.18M,-0.23%
2/26/2021,34506.30,33873.20,34585.50,33477.50,1.74M,1.51%
3/1/2021,34902.00,34506.30,35139.50,34506.30,2.83M,1.15%
3/2/2021,34862.50,35218.60,35297.80,34704.20,2.67M,-0.11%
3/3/2021,34664.60,34862.50,34981.20,34585.50,1.99M,-0.57%
3/4/2021,33833.60,34822.90,35020.80,33477.50,2.63M,-2.40%
3/5/2021,33556.60,33833.60,34268.90,33240.00,2.34M,-0.82%
3/8/2021,33596.20,34348.00,34348.00,33477.50,2.01M,0.12%
3/9/2021,33121.30,33556.60,33556.60,32844.30,3.06M,-1.41%
3/10/2021,33240.00,33240.00,33398.30,32765.20,2.59M,0.36%
3/11/2021,34268.90,33794.00,34506.30,33675.30,2.10M,3.10%
3/12/2021,34308.50,34427.20,34585.50,34110.60,3.19M,0.12%
3/15/2021,34031.50,34427.20,34506.30,33873.20,3.50M,-0.81%
3/16/2021,33556.60,34031.50,34189.80,33477.50,2.80M,-1.40%
3/17/2021,34268.90,33635.80,34348.00,33200.50,5.47M,2.12%
3/18/2021,35614.30,34822.90,35851.80,34466.80,7.13M,3.93%
3/19/2021,35614.30,35614.30,35930.90,35376.90,3.63M,0.00%
3/22/2021,35337.30,35614.30,35614.30,35218.60,3.22M,-0.78%
3/23/2021,34585.50,35218.60,35258.20,34110.60,5.72M,-2.13%
3/24/2021,33358.80,34031.50,34268.90,33160.90,4.20M,-3.55%
3/25/2021,33437.90,33635.80,33991.90,33200.50,2.98M,0.24%
3/26/2021,33319.20,33200.50,33556.60,32052.90,3.08M,-0.35%
3/29/2021,33675.30,33635.80,33754.50,33358.80,1.70M,1.07%
3/30/2021,33912.80,34031.50,34071.00,33477.50,2.90M,0.71%
3/31/2021,33991.90,33991.90,34387.60,33873.20,2.73M,0.23%
4/1/2021,34783.30,34031.50,34822.90,34031.50,4.66M,2.33%
4/2/2021,35614.30,35139.50,36010.00,34862.50,7.29M,2.39%
4/5/2021,36049.60,36168.30,36326.60,35693.50,7.51M,1.22%
4/6/2021,36207.90,35930.90,36603.60,35653.90,5.17M,0.44%
4/7/2021,36049.60,36168.30,36207.90,35891.30,3.28M,-0.44%
4/8/2021,35456.00,36168.30,36247.50,35376.90,5.55M,-1.65%
4/9/2021,35060.30,35376.90,35456.00,34862.50,5.65M,-1.12%
4/12/2021,35416.50,35218.60,35851.80,34902.00,6.48M,1.02%
4/13/2021,34545.90,35614.30,35693.50,34427.20,4.97M,-2.46%
4/14/2021,34822.90,34427.20,35060.30,34031.50,3.57M,0.80%
4/15/2021,34071.00,34902.00,34981.20,34031.50,4.66M,-2.16%
4/16/2021,33240.00,33912.80,34427.20,33121.30,5.87M,-2.44%
4/19/2021,34031.50,33240.00,34110.60,33081.70,4.02M,2.38%
4/20/2021,34189.80,34110.60,34822.90,33991.90,3.37M,0.47%
4/22/2021,32448.60,34189.80,34189.80,32448.60,3.68M,-5.09%
4/23/2021,33240.00,32448.60,33358.80,32329.90,3.87M,2.44%
4/26/2021,32052.90,33042.20,33240.00,32052.90,4.19M,-3.57%
4/27/2021,31934.20,32052.90,32290.30,31815.50,2.49M,-0.37%
4/28/2021,32132.00,31934.20,32369.50,31934.20,1.73M,0.62%
4/29/2021,32448.60,32132.00,33160.90,32132.00,2.45M,0.99%
5/4/2021,32686.00,31657.20,33081.70,31657.20,2.73M,0.73%
5/5/2021,33160.90,33002.60,33517.00,32844.30,3.39M,1.45%
5/6/2021,32646.50,33160.90,33160.90,32606.90,2.82M,-1.55%
5/7/2021,32171.60,32132.00,32606.90,32052.90,4.66M,-1.45%
5/10/2021,32765.20,32052.90,32844.30,31934.20,3.81M,1.85%
5/11/2021,33319.20,33240.00,34427.20,33081.70,6.73M,1.69%
5/12/2021,33754.50,33240.00,33794.00,33081.70,4.19M,1.31%
5/13/2021,33714.90,33635.80,34348.00,33240.00,4.38M,-0.12%
5/14/2021,33517.00,33873.20,34031.50,33477.50,3.43M,-0.59%
5/17/2021,33081.70,33635.80,34031.50,33002.60,3.76M,-1.30%
5/18/2021,32369.50,33002.60,33002.60,32290.30,4.91M,-2.15%
5/19/2021,32369.50,32448.60,32765.20,32132.00,3.61M,0.00%
5/20/2021,33121.30,32369.50,33160.90,31657.20,4.40M,2.32%
5/21/2021,35416.50,33240.00,35416.50,33121.30,16.38M,6.93%
5/24/2021,36405.80,36010.00,36722.30,36010.00,8.80M,2.79%
5/25/2021,36959.80,36405.80,37078.50,35970.50,7.96M,1.52%
5/26/2021,36920.20,36959.80,37276.30,36564.00,9.27M,-0.11%
5/27/2021,35930.90,37038.90,37038.90,35653.90,7.37M,-2.68%
5/28/2021,37315.90,36089.20,37751.20,35535.20,9.88M,3.85%
5/31/2021,38542.60,37830.30,38621.80,37592.90,7.04M,3.29%
6/1/2021,37988.60,38661.30,38780.00,37988.60,5.15M,-1.44%
6/2/2021,37513.80,37434.60,37949.00,37355.50,7.60M,-1.25%
6/3/2021,38621.80,37830.30,39175.80,37513.80,8.45M,2.95%
6/4/2021,38780.00,38542.60,39175.80,37988.60,7.47M,0.41%
6/7/2021,37038.90,38384.30,38463.50,36089.20,6.63M,-4.49%
6/8/2021,35456.00,37118.00,37355.50,35376.90,7.15M,-4.27%
6/9/2021,35970.50,35614.30,36168.30,34822.90,5.60M,1.45%
6/10/2021,34743.80,35970.50,36089.20,34743.80,5.61M,-3.41%
6/11/2021,35772.60,34822.90,35812.20,34427.20,8.04M,2.96%
6/14/2021,35535.20,36010.00,36089.20,35337.30,4.27M,-0.66%
6/15/2021,35535.20,35416.50,35733.00,34822.90,4.10M,0.00%
6/16/2021,35851.80,35376.90,36959.80,34981.20,5.30M,0.89%
