Date,Price,Open,High,Low,Vol.,Change %
11/10/2021,28450.00,28200.00,28750.00,28150.00,16.09M,1.25%
11/11/2021,27700.00,28550.00,28600.00,27700.00,22.52M,-2.64%
11/12/2021,28100.00,27450.00,28450.00,27300.00,17.02M,1.44%
11/15/2021,27950.00,28400.00,28400.00,27650.00,12.70M,-0.53%
11/16/2021,28050.00,28000.00,28800.00,27700.00,22.04M,0.36%
11/17/2021,28000.00,28100.00,28300.00,27600.00,10.32M,-0.18%
11/18/2021,27650.00,28150.00,28150.00,27550.00,12.18M,-1.25%
11/19/2021,27900.00,27700.00,28450.00,27000.00,22.04M,0.90%
11/22/2021,28800.00,28000.00,29500.00,27900.00,35.71M,3.23%
11/23/2021,28500.00,28950.00,28950.00,28300.00,10.73M,-1.04%
11/24/2021,30450.00,28500.00,30450.00,28350.00,67.32M,6.84%
11/25/2021,30650.00,31000.00,31250.00,30350.00,28.51M,0.66%
11/26/2021,30850.00,30700.00,31450.00,30500.00,29.14M,0.65%
11/29/2021,29900.00,30100.00,30600.00,29800.00,38.63M,-3.08%
11/30/2021,28900.00,30250.00,30300.00,28650.00,35.42M,-3.34%
12/1/2021,29900.00,28800.00,29900.00,28750.00,19.24M,3.46%
12/2/2021,29300.00,29900.00,30050.00,29300.00,13.46M,-2.01%
12/3/2021,28000.00,29400.00,29550.00,28000.00,23.48M,-4.44%
12/6/2021,27000.00,28000.00,28400.00,26400.00,26.47M,-3.57%
12/7/2021,28050.00,27300.00,28100.00,26900.00,12.83M,3.89%
12/8/2021,28600.00,28050.00,28800.00,27800.00,15.75M,1.96%
12/9/2021,28850.00,28500.00,28900.00,28400.00,11.92M,0.87%
12/10/2021,28600.00,28850.00,29050.00,28400.00,9.89M,-0.87%
12/13/2021,28650.00,28600.00,29000.00,28350.00,10.71M,0.17%
12/14/2021,28100.00,28550.00,28800.00,28100.00,11.43M,-1.92%
12/15/2021,28350.00,28100.00,28900.00,27700.00,15.19M,0.89%
12/16/2021,28600.00,28700.00,28700.00,28000.00,11.08M,0.88%
12/17/2021,28300.00,28650.00,28700.00,28000.00,9.27M,-1.05%
12/20/2021,28650.00,28250.00,28700.00,28150.00,13.06M,1.24%
12/21/2021,28200.00,28650.00,28800.00,28200.00,9.48M,-1.57%
12/22/2021,27650.00,28450.00,28600.00,27200.00,12.05M,-1.95%
12/23/2021,27400.00,27600.00,27800.00,26900.00,14.27M,-0.90%
12/24/2021,28200.00,27400.00,28250.00,27400.00,10.41M,2.92%
12/27/2021,28100.00,28450.00,28450.00,27850.00,7.41M,-0.35%
12/28/2021,30050.00,28250.00,30050.00,28050.00,45.05M,6.94%
12/29/2021,29500.00,30500.00,30800.00,29500.00,16.20M,-1.83%
12/30/2021,30500.00,29600.00,31050.00,29600.00,26.16M,3.39%
12/31/2021,31500.00,30700.00,32300.00,30500.00,35.41M,3.28%
1/4/2022,32100.00,32000.00,32850.00,31700.00,32.86M,1.90%
1/5/2022,32550.00,31900.00,32800.00,31700.00,36.94M,1.40%
1/6/2022,32700.00,32500.00,33900.00,32400.00,38.54M,0.46%
1/7/2022,31950.00,32700.00,32950.00,31950.00,28.17M,-2.29%
1/10/2022,31600.00,31950.00,32950.00,31150.00,28.38M,-1.10%
1/11/2022,32450.00,31800.00,33300.00,31700.00,29.60M,2.69%
1/12/2022,34700.00,32500.00,34700.00,31650.00,62.42M,6.93%
1/13/2022,34300.00,35400.00,36200.00,34300.00,43.95M,-1.15%
1/14/2022,35000.00,33800.00,35450.00,33750.00,26.70M,2.04%
1/17/2022,32600.00,35500.00,35600.00,32600.00,44.37M,-6.86%
1/18/2022,33900.00,32600.00,34500.00,32550.00,39.68M,3.99%
1/19/2022,32900.00,34300.00,34400.00,32700.00,20.80M,-2.95%
1/20/2022,33800.00,32600.00,33900.00,31800.00,30.98M,2.74%
1/21/2022,34600.00,33600.00,35250.00,33350.00,39.14M,2.37%
1/24/2022,33300.00,34400.00,34950.00,33000.00,30.19M,-3.76%
1/25/2022,34700.00,33100.00,34800.00,33000.00,24.09M,4.20%
1/26/2022,35550.00,35000.00,36500.00,34800.00,48.91M,2.45%
1/27/2022,35400.00,35300.00,35950.00,34750.00,23.70M,-0.42%
1/28/2022,35550.00,35200.00,36200.00,35200.00,22.21M,0.42%
2/7/2022,35600.00,36000.00,36300.00,35450.00,18.65M,0.14%
2/8/2022,35850.00,35350.00,36200.00,35350.00,18.82M,0.70%
2/9/2022,35050.00,36000.00,36700.00,35000.00,32.93M,-2.23%
2/10/2022,34750.00,35000.00,35250.00,34200.00,33.96M,-0.86%
2/11/2022,35300.00,34750.00,35350.00,34450.00,18.45M,1.58%
2/14/2022,32850.00,34850.00,35000.00,32850.00,37.42M,-6.94%
2/15/2022,33500.00,33100.00,33900.00,32700.00,31.17M,1.98%
2/16/2022,33600.00,33750.00,34100.00,33100.00,20.06M,0.30%
2/17/2022,33900.00,33600.00,34250.00,33450.00,15.74M,0.89%
2/18/2022,33350.00,33600.00,33800.00,33200.00,18.49M,-1.62%
2/21/2022,33200.00,33350.00,33550.00,32800.00,21.15M,-0.45%
2/22/2022,33700.00,32900.00,33700.00,32800.00,24.42M,1.51%
2/23/2022,33600.00,33900.00,33950.00,33600.00,13.87M,-0.30%
2/24/2022,32900.00,33400.00,33700.00,32000.00,30.48M,-2.08%
2/25/2022,33000.00,33100.00,33550.00,32900.00,17.79M,0.30%
2/28/2022,32850.00,33000.00,33350.00,32800.00,16.46M,-0.45%
3/1/2022,32650.00,33000.00,33000.00,32650.00,16.92M,-0.61%
3/2/2022,31250.00,32500.00,32550.00,31100.00,45.28M,-4.29%
3/3/2022,31850.00,31550.00,31900.00,31100.00,19.79M,1.92%
3/4/2022,32000.00,31850.00,32550.00,31500.00,13.26M,0.47%
3/7/2022,31500.00,31200.00,32000.00,31200.00,16.73M,-1.56%
3/8/2022,30850.00,31050.00,31650.00,30650.00,16.48M,-2.06%
3/9/2022,31100.00,31000.00,31300.00,30500.00,14.91M,0.81%
3/10/2022,31550.00,31750.00,32000.00,31550.00,12.22M,1.45%
3/11/2022,32050.00,31400.00,32450.00,31300.00,15.99M,1.58%
3/14/2022,32500.00,32050.00,32600.00,31850.00,20.98M,1.40%
3/15/2022,32700.00,32500.00,33150.00,32350.00,17.47M,0.62%
3/16/2022,32900.00,32800.00,32950.00,32550.00,11.15M,0.61%
3/17/2022,32800.00,33000.00,33150.00,32650.00,10.88M,-0.30%
3/18/2022,33100.00,32800.00,33250.00,32550.00,26.73M,0.91%
3/21/2022,33100.00,33100.00,33450.00,32800.00,12.85M,0.00%
3/22/2022,34050.00,33350.00,34200.00,33350.00,24.58M,2.87%
3/23/2022,34000.00,34000.00,34300.00,33650.00,15.50M,-0.15%
3/24/2022,33650.00,34000.00,34050.00,33600.00,9.92M,-1.03%
3/25/2022,33650.00,33600.00,34000.00,33600.00,11.34M,0.00%
3/28/2022,31850.00,33500.00,33550.00,31800.00,36.75M,-5.35%
3/29/2022,32300.00,32100.00,32350.00,31750.00,12.69M,1.41%
3/30/2022,32250.00,31950.00,32650.00,31500.00,15.93M,-0.15%
3/31/2022,31700.00,32100.00,32450.00,31700.00,9.02M,-1.71%
4/1/2022,32200.00,31650.00,32250.00,31550.00,9.16M,1.58%
4/4/2022,32200.00,32500.00,32700.00,32150.00,10.19M,0.00%
4/5/2022,31800.00,32050.00,32300.00,31800.00,8.73M,-1.24%
4/6/2022,32350.00,31800.00,32600.00,31550.00,12.15M,1.73%
4/7/2022,31900.00,32400.00,32900.00,31750.00,11.48M,-1.39%
4/8/2022,31000.00,31900.00,31950.00,30900.00,18.75M,-2.82%
4/12/2022,30800.00,31150.00,31450.00,30500.00,9.62M,-0.65%
4/13/2022,31350.00,31000.00,31500.00,30700.00,6.92M,1.79%
4/14/2022,30800.00,31350.00,31500.00,30750.00,6.47M,-1.75%
4/15/2022,30100.00,30700.00,31000.00,30100.00,10.46M,-2.27%
4/18/2022,29000.00,30100.00,30200.00,29000.00,14.86M,-3.65%
4/19/2022,27500.00,29100.00,29400.00,27500.00,15.85M,-5.17%
4/20/2022,27550.00,27800.00,28200.00,27450.00,12.02M,0.18%
4/21/2022,27650.00,27400.00,28350.00,27100.00,9.90M,0.36%
4/22/2022,28800.00,28100.00,29000.00,27800.00,11.53M,4.16%
